Day,Clicks
30/09/2023,186
01/10/2023,260
02/10/2023,771
03/10/2023,1067
04/10/2023,1136
05/10/2023,893
06/10/2023,715
07/10/2023,206
08/10/2023,190
09/10/2023,853
10/10/2023,1143
11/10/2023,1295
12/10/2023,1263
13/10/2023,1060
14/10/2023,333
15/10/2023,340
16/10/2023,1106
17/10/2023,1385
18/10/2023,1466
19/10/2023,1056
20/10/2023,807
21/10/2023,256
22/10/2023,267
23/10/2023,823
24/10/2023,1341
25/10/2023,1322
26/10/2023,993
27/10/2023,717
28/10/2023,270
29/10/2023,397
30/10/2023,976
31/10/2023,1260
01/11/2023,1202
02/11/2023,909
03/11/2023,656
04/11/2023,164
05/11/2023,172
06/11/2023,613
07/11/2023,781
08/11/2023,884
09/11/2023,662
10/11/2023,478
11/11/2023,152
12/11/2023,138
13/11/2023,762
14/11/2023,1025
15/11/2023,903
16/11/2023,796
17/11/2023,600
18/11/2023,154
19/11/2023,134
20/11/2023,558
21/11/2023,767
22/11/2023,571
23/11/2023,172
24/11/2023,177
25/11/2023,129
26/11/2023,172
27/11/2023,670
28/11/2023,960
29/11/2023,892
30/11/2023,707
01/12/2023,478
02/12/2023,135
03/12/2023,172
04/12/2023,359
05/12/2023,603
06/12/2023,637
07/12/2023,809
08/12/2023,791
09/12/2023,152
10/12/2023,171
11/12/2023,582
12/12/2023,732
13/12/2023,836
14/12/2023,800
15/12/2023,714
16/12/2023,124
17/12/2023,149
18/12/2023,545
19/12/2023,1239
20/12/2023,1450
21/12/2023,716
22/12/2023,321
23/12/2023,100
24/12/2023,74
25/12/2023,71
26/12/2023,344
27/12/2023,470
28/12/2023,482
29/12/2023,442
30/12/2023,164
31/12/2023,139
01/01/2024,135
02/01/2024,612
03/01/2024,1025
04/01/2024,1161
05/01/2024,1082
06/01/2024,286
07/01/2024,261
08/01/2024,1070
09/01/2024,1713
10/01/2024,2050
11/01/2024,1763
12/01/2024,1110
13/01/2024,252
14/01/2024,153
15/01/2024,630
16/01/2024,1434
17/01/2024,1522
18/01/2024,1238
19/01/2024,912
20/01/2024,256
21/01/2024,284
22/01/2024,991
23/01/2024,1105
24/01/2024,1201
25/01/2024,797
26/01/2024,948
27/01/2024,328
28/01/2024,445
29/01/2024,1498
30/01/2024,1887
31/01/2024,1717
01/02/2024,1650
02/02/2024,1265
03/02/2024,278
04/02/2024,323
05/02/2024,1263
06/02/2024,1825
07/02/2024,3284
08/02/2024,1889
09/02/2024,1014
10/02/2024,208
11/02/2024,241
12/02/2024,274
13/02/2024,2057
14/02/2024,2356
15/02/2024,2925
16/02/2024,1574
17/02/2024,722
18/02/2024,640
19/02/2024,1877
20/02/2024,2595
21/02/2024,2469
22/02/2024,1514
23/02/2024,1063
24/02/2024,314
25/02/2024,327
26/02/2024,1121
27/02/2024,944
28/02/2024,1146
29/02/2024,878
01/03/2024,646
02/03/2024,231
03/03/2024,236
04/03/2024,613
05/03/2024,836
06/03/2024,787
07/03/2024,937
08/03/2024,1368
09/03/2024,440
10/03/2024,429
11/03/2024,1256
12/03/2024,1523
13/03/2024,1507
14/03/2024,1347
15/03/2024,927
16/03/2024,318
17/03/2024,395
18/03/2024,870
19/03/2024,1240
20/03/2024,987
21/03/2024,1151
22/03/2024,875
23/03/2024,293
24/03/2024,298
25/03/2024,887
26/03/2024,789
27/03/2024,826
28/03/2024,691
29/03/2024,546
30/03/2024,238
31/03/2024,149
