Day,Clicks,,,,
2023-08-31,1168,,,,
2023-09-01,775,,,,
2023-09-02,202,,,,
2023-09-03,170,,,,
2023-09-04,301,,,,
2023-09-05,1096,,,,
2023-09-06,1338,,,,
2023-09-07,983,,,,
2023-09-08,775,,,,
2023-09-09,221,,,,
2023-09-10,289,,,,
2023-09-11,961,,,,
2023-09-12,1203,,,,
2023-09-13,1316,,,,
2023-09-14,947,,,,
2023-09-15,709,,,,
2023-09-16,190,,,,
2023-09-17,250,,,,
2023-09-18,853,,,,
2023-09-19,1031,,,,
2023-09-20,1080,,,,
2023-09-21,918,,,,
2023-09-22,761,,,,
2023-09-23,213,,,,
2023-09-24,215,,,,
2023-09-25,798,,,,
2023-09-26,964,,,,
2023-09-27,978,,,,
2023-09-28,877,,,,
2023-09-29,650,,,,
2023-09-30,186,,,,
2023-10-01,260,,,,
2023-10-02,771,,,,
2023-10-03,1067,,,,
2023-10-04,1136,,,,
2023-10-05,893,,,,
2023-10-06,715,,,,
2023-10-07,206,,,,
2023-10-08,190,,,,
2023-10-09,853,,,,
2023-10-10,1143,,,,
2023-10-11,1295,,,,
2023-10-12,1263,,,,
2023-10-13,1060,,,,
2023-10-14,333,,,,
2023-10-15,340,,,,
2023-10-16,1106,,,,
2023-10-17,1385,,,,
2023-10-18,1466,,,,
2023-10-19,1056,,,,
2023-10-20,807,,,,
2023-10-21,256,,,,
2023-10-22,267,,,,
2023-10-23,823,,,,
2023-10-24,1341,,,,
2023-10-25,1322,,,,
2023-10-26,993,,,,
2023-10-27,717,,,,
2023-10-28,270,,,,
2023-10-29,397,,,,
2023-10-30,976,,,,
2023-10-31,1260,,,,
2023-11-01,1202,,,,
2023-11-02,909,,,,
2023-11-03,656,,,,
2023-11-04,164,,,,
2023-11-05,172,,,,
2023-11-06,613,,,,
2023-11-07,781,,,,
2023-11-08,884,,,,
2023-11-09,662,,,,
2023-11-10,478,,,,
2023-11-11,152,,,,
2023-11-12,138,,,,
2023-11-13,762,,,,
2023-11-14,1025,,,,
2023-11-15,903,,,,
2023-11-16,796,,,,
2023-11-17,600,,,,
2023-11-18,154,,,,
2023-11-19,134,,,,
2023-11-20,558,,,,
2023-11-21,767,,,,
2023-11-22,571,,,,
2023-11-23,172,,,,
2023-11-24,177,,,,
2023-11-25,129,,,,
2023-11-26,172,,,,
2023-11-27,670,,,,
2023-11-28,960,,,,
2023-11-29,892,,,,
2023-11-30,707,,,,
2023-12-01,478,,,,
2023-12-02,135,,,,
2023-12-03,172,,,,
2023-12-04,359,,,,
2023-12-05,603,,,,
2023-12-06,637,,,,
2023-12-07,809,,,,
2023-12-08,791,,,,
2023-12-09,152,,,,
2023-12-10,171,,,,
2023-12-11,582,,,,
2023-12-12,732,,,,
2023-12-13,836,,,,
2023-12-14,800,,,,
2023-12-15,714,,,,
2023-12-16,124,,,,
2023-12-17,149,,,,
2023-12-18,545,,,,
2023-12-19,1239,,,,
2023-12-20,1450,,,,
2023-12-21,716,,,,
2023-12-22,321,,,,
2023-12-23,100,,,,
2023-12-24,74,,,,
2023-12-25,71,,,,
2023-12-26,344,,,,
2023-12-27,470,,,,
2023-12-28,482,,,,
2023-12-29,442,,,,
2023-12-30,164,,,,
2023-12-31,139,,,,
2024-01-01,135,,,,
2024-01-02,612,,,,
2024-01-03,1025,,,,
2024-01-04,1161,,,,
2024-01-05,1082,,,,
2024-01-06,286,,,,
2024-01-07,261,,,,
2024-01-08,1070,,,,
2024-01-09,1713,,,,
2024-01-10,2050,,,,
2024-01-11,1763,,,,
2024-01-12,1110,,,,
2024-01-13,252,,,,
2024-01-14,153,,,,
2024-01-15,630,,,,
2024-01-16,1434,,,,
2024-01-17,1522,,,,
2024-01-18,1238,,,,
2024-01-19,912,,,,
2024-01-20,256,,,,
2024-01-21,284,,,,
2024-01-22,991,,,,
2024-01-23,1105,,,,
2024-01-24,1201,,,,
2024-01-25,797,,,,
2024-01-26,948,,,,
2024-01-27,328,,,,
2024-01-28,445,,,,
2024-01-29,1498,,,,
2024-01-30,1887,,,,
2024-01-31,1717,,,,
